机构名称,表中文名,字段中文（可忽略）,数据元
自然资源,采矿申请登记信息,选矿方法,选矿方法
自然资源,采矿申请登记信息,选矿回收率,选矿回收率
自然资源,采矿申请登记信息,许可证号,许可证号
自然资源,采矿申请登记信息,项目档案号,采矿权项目档案号
自然资源,采矿申请登记信息,项目简介,采矿项目简介
自然资源,采矿申请登记信息,项目类型,采矿权项目类型
自然资源,采矿申请登记信息,项目审批机关,项目审批机关
自然资源,采矿申请登记信息,应缴纳采矿权价款,应缴纳采矿权价款
自然资源,采矿申请登记信息,有效期起,有效起始日期
自然资源,采矿申请登记信息,有效期限,采矿权有效期限
自然资源,采矿申请登记信息,有效期止,有效到期日期
自然资源,采矿申请登记信息,总储量,矿产总储量
自然资源,采矿申请登记信息,注册资金,注册资金
自然资源,采矿申请登记信息,注册资金单位,注册资金单位
自然资源,采矿申请登记信息,资金来源,采矿资金来源
自然资源,采矿注销登记信息,补偿费交纳情况,补偿费交纳情况
自然资源,采矿注销登记信息,保有储量,矿产保有储量
自然资源,采矿注销登记信息,登记唯一标识,采矿登记唯一标识
自然资源,采矿注销登记信息,价款处置情况,价款处置情况
自然资源,采矿注销登记信息,使用费交纳情况,采矿使用费交纳情况
自然资源,采矿注销登记信息,许可证号,许可证号
自然资源,采矿注销登记信息,项目档案号,采矿权项目档案号
自然资源,采矿注销登记信息,采矿权人姓名,采矿权人姓名
自然资源,采矿注销登记信息,采矿权人身份证号,采矿权人公民身份号码
自然资源,采矿注销登记信息,注销原因,注销原因
自然资源,采矿注销登记信息,采矿注销标识,采矿注销标识
自然资源,采矿转让登记信息,采矿权价款缴纳方式词表,采矿权价款缴纳方式
自然资源,采矿转让登记信息,采矿权使用费,采矿权使用费
自然资源,采矿转让登记信息,采矿权属有无争议,采矿权属有无争议
自然资源,采矿转让登记信息,采深上限,矿产采深上限
自然资源,采矿转让登记信息,采深下限,矿产采深下限
自然资源,采矿转让登记信息,登记唯一标识,采矿登记唯一标识
自然资源,采矿转让登记信息,地理位置,矿产地理位置
自然资源,采矿转让登记信息,法定代表人,法定代表人
自然资源,采矿转让登记信息,划定矿区范围,划定矿区范围
自然资源,采矿转让登记信息,经济类型词表,受让人经济类型
自然资源,采矿转让登记信息,矿区编码,矿区编码
自然资源,采矿转让登记信息,矿区面积,矿区面积
自然资源,采矿转让登记信息,矿山名称,矿山名称
自然资源,采矿转让登记信息,签发时间,发证日期
自然资源,采矿转让登记信息,受让人,受让人
自然资源,采矿转让登记信息,受让人电话,受让人联系电话
自然资源,采矿转让登记信息,受让人法定代表人,受让人法定代表人
自然资源,采矿转让登记信息,受让人经济类型词表,受让人经济类型
自然资源,采矿转让登记信息,受让人开户银行,受让人开户银行
自然资源,采矿转让登记信息,受让人邮编,受让人邮政编码
自然资源,采矿转让登记信息,受让人帐号,采矿受让人帐号
自然资源,采矿转让登记信息,许可证号,许可证号
自然资源,采矿转让登记信息,项目类型,采矿权项目类型
自然资源,采矿转让登记信息,项目审批机关,项目审批机关
自然资源,采矿转让登记信息,预期建矿时间,预期建矿时间
自然资源,采矿转让登记信息,预期开采规模,矿产预期开采规模
自然资源,采矿转让登记信息,原许可证号,原许可证号
自然资源,采矿转让登记信息,原项目审批机关,原项目审批机关
自然资源,采矿转让登记信息,有效期起,有效起始日期
自然资源,采矿转让登记信息,有效期限,采矿权有效期限
自然资源,采矿转让登记信息,有效期止,有效到期日期
自然资源,采矿转让登记信息,准备投资规模,准备投资规模
自然资源,采矿转让登记信息,资金条件,采矿权受让人资金条件
自然资源,采矿转让登记信息,转让价格(万元),转让价格
自然资源,采矿转让登记信息,转让申请人即采矿权人,原采矿权人姓名
自然资源,采矿转让登记信息,申请人身份证号,申请人公民身份号码
自然资源,采矿转让登记信息,采矿权转让标识,采矿权转让标识
自然资源,不动产查封信息,不动产权证号,不动产权证号
自然资源,不动产查封信息,被查封单位,被查封单位
自然资源,不动产查封信息,查封标识码,查封标识码
自然资源,不动产查封信息,查封机关,查封机关
自然资源,不动产查封信息,查封文号,查封文号
自然资源,不动产查封信息,登记机构,不动产登记机构
自然资源,不动产查封信息,查封日期,查封日期
自然资源,不动产查封信息,权利人姓名,不动产权利人姓名
自然资源,不动产查封信息,权利人身份证号码,权利人公民身份号码
自然资源,不动产查封信息,解封日期,解封日期
自然资源,不动产查封信息,权利表名,不动产权利表名
自然资源,不动产查封信息,权利标识码,不动产权利标识码
自然资源,不动产查封信息,查封坐落,不动产坐落
自然资源,不动产查封信息,状态,不动产状态
自然资源,不动产查封信息,行政区编码,行政区划代码
自然资源,不动产抵押信息,被担保债权数额,被担保债权数额
自然资源,不动产抵押信息,不动产登记证明号,不动产登记证明号
自然资源,不动产抵押信息,登记机构,不动产登记机构
自然资源,不动产抵押信息,抵押登记日期,不动产抵押登记日期
自然资源,不动产抵押信息,抵押方式,不动产抵押方式
自然资源,不动产抵押信息,抵押期限,抵押期限
自然资源,不动产抵押信息,抵押顺序,抵押顺序
自然资源,不动产抵押信息,权利表名,不动产权利表名
自然资源,不动产抵押信息,权利标识码,不动产权利标识码
自然资源,不动产抵押信息,抵押权人名称,抵押权人名称
自然资源,不动产抵押信息,抵押权人身份证号,抵押权人公民身份号码
自然资源,不动产抵押信息,抵押人名称,抵押人
自然资源,不动产抵押信息,抵押人身份证号,抵押人公民身份号码
自然资源,不动产抵押信息,最高债权数额,不动产抵押最高债权数额
自然资源,不动产抵押信息,状态,不动产状态
自然资源,不动产抵押信息,抵押注销时间,抵押注销时间
自然资源,不动产抵押信息,抵押标识码,不动产抵押标识码
自然资源,不动产抵押信息,行政区编码,行政区划代码
自然资源,海域使用权信息,不动产单元号,不动产单元号
自然资源,海域使用权信息,不动产权字号,不动产权字号
自然资源,海域使用权信息,登簿时间,不动产登簿时间
自然资源,海域使用权信息,登记机构,不动产登记机构
自然资源,海域使用权信息,共有情况,不动产共有情况
自然资源,海域使用权信息,面积,不动产面积
自然资源,海域使用权信息,权利表名,不动产权利表名
自然资源,海域使用权信息,权利标识码,不动产权利标识码
自然资源,海域使用权信息,权利类型,不动产权利类型
自然资源,海域使用权信息,权利其他状况,权利其他状况
自然资源,海域使用权信息,权利人姓名,不动产权利人姓名
自然资源,海域使用权信息,权利性质,不动产权利性质
自然资源,海域使用权信息,省编号,省代码
自然资源,海域使用权信息,使用期限,不动产使用期限
自然资源,海域使用权信息,缮证时间,不动产缮证时间
自然资源,海域使用权信息,用途,海域用途
自然资源,海域使用权信息,权利人身份证号码,权利人公民身份号码
自然资源,海域使用权信息,坐落,不动产坐落
自然资源,海域使用权信息,证书状态,海域使用权证书状态
自然资源,海域使用权信息,行政区编码,行政区划代码
自然资源,水域滩涂养殖证信息,地区名称,所在地区
自然资源,水域滩涂养殖证信息,发证机关,发证机关
自然资源,水域滩涂养殖证信息,个人姓名,不动产权利人姓名
自然资源,水域滩涂养殖证信息,个人联系方式,联系电话
自然资源,水域滩涂养殖证信息,签发日期,证件签发日期
自然资源,水域滩涂养殖证信息,企业法人名称,法定代表人姓名
自然资源,水域滩涂养殖证信息,企业联系方式,企业联系电话
自然资源,水域滩涂养殖证信息,企业名称,企业名称
自然资源,水域滩涂养殖证信息,个人身份证号码,公民身份号码
自然资源,水域滩涂养殖证信息,省,省
自然资源,水域滩涂养殖证信息,市,市
自然资源,水域滩涂养殖证信息,区县,区县
自然资源,水域滩涂养殖证信息,乡镇,乡镇名称
自然资源,水域滩涂养殖证信息,村,所在村
自然资源,水域滩涂养殖证信息,水域滩涂类型,水域滩涂类型
自然资源,水域滩涂养殖证信息,水域滩涂面积,水域滩涂面积
自然资源,水域滩涂养殖证信息,水域滩涂养殖证编号,水域滩涂养殖证编号
自然资源,水域滩涂养殖证信息,所有制性质,所有制性质
自然资源,水域滩涂养殖证信息,延期后有效期结束时间,延期有效期结束时间
自然资源,水域滩涂养殖证信息,延期后有效期开始时间,延期有效期开始时间
自然资源,水域滩涂养殖证信息,有效期结束日期,有效期截止日期
自然资源,水域滩涂养殖证信息,有效期开始日期,有效期开始日期
自然资源,水域滩涂养殖证信息,养殖证所属地,所属地区
自然资源,水域滩涂养殖证信息,养殖方式,养殖方式
自然资源,水域滩涂养殖证信息,注销时间,注销时间
自然资源,水域滩涂养殖证信息,注销原因,注销原因
自然资源,采矿许可证,发证机关,发证机关
自然资源,采矿许可证,颁证时间,发证时间
自然资源,采矿许可证,地址,矿产地址
自然资源,采矿许可证,经济类型,采矿权经济类型
自然资源,采矿许可证,开采方式,采矿开采方式
自然资源,采矿许可证,开采矿种,开采矿种
自然资源,采矿许可证,开采深度,开采深度
自然资源,采矿许可证,矿区范围,矿区范围
自然资源,采矿许可证,矿区面积,矿区面积
自然资源,采矿许可证,矿山名称,矿山名称
自然资源,采矿许可证,采矿权人,采矿权人
自然资源,采矿许可证,身份证号码,公民身份号码
自然资源,采矿许可证,生成规模,矿产生成规模
自然资源,采矿许可证,统一社会信用代码,统一社会信用代码
自然资源,采矿许可证,行政区划,行政区划名称
自然资源,采矿许可证,有效期止,有效到期日期
自然资源,采矿许可证,有效期起,有效起始日期
自然资源,采矿许可证,状态,许可证状态
自然资源,采矿许可证,许可证号,许可证号
自然资源,矿产资源勘查许可证,发证机关,发证机关
自然资源,矿产资源勘查许可证,颁证时间,发证时间
自然资源,矿产资源勘查许可证,地理位置,矿产地理位置
自然资源,矿产资源勘查许可证,勘查单位地址,勘查单位地址
自然资源,矿产资源勘查许可证,勘查面积,勘查面积
自然资源,矿产资源勘查许可证,勘查项目名称,勘查项目名称
自然资源,矿产资源勘查许可证,探矿权人,探矿权人
自然资源,矿产资源勘查许可证,身份证号码,公民身份号码
自然资源,矿产资源勘查许可证,探矿权人地址,探矿权人地址
自然资源,矿产资源勘查许可证,行政区划,行政区划名称
自然资源,矿产资源勘查许可证,有效期止,有效到期日期
自然资源,矿产资源勘查许可证,有效期起,有效起始日期
自然资源,矿产资源勘查许可证,状态,许可证状态
自然资源,矿产资源勘查许可证,许可证号,许可证号
住建,二手房交易合同信息,不动产单元号,不动产单元号
住建,二手房交易合同信息,房屋用途或预售用途,房屋用途
住建,二手房交易合同信息,房屋坐落,不动产坐落
住建,二手房交易合同信息,合同备案时间,合同备案时间
住建,二手房交易合同信息,合同编号,合同编号
住建,二手房交易合同信息,合同购房金额或交易价格,合同购房金额
住建,二手房交易合同信息,经纪机构名称,经纪机构名称
住建,二手房交易合同信息,房屋建筑面积,房屋建筑面积
住建,二手房交易合同信息,房屋买受人,房屋买受人姓名
住建,二手房交易合同信息,房屋买受人证件号码,房屋买受人身份证件号码
住建,二手房交易合同信息,房屋买受人证件类型,房屋买受人身份证件类型
住建,二手房交易合同信息,所在城市,所在城市
住建,二手房交易合同信息,所在区县市,所在市县区
住建,二手房交易合同信息,房屋出卖人,房屋出卖人
住建,二手房交易合同信息,房屋出卖人证件号码,房屋出卖人身份证件号码
住建,二手房交易合同信息,房屋出卖人证件类型,房屋出卖人身份证件类型
住建,房产交易合同信息,首付款,不动产首付款
住建,房产交易合同信息,托管状态（0托管1非托管2托管取消）,不动产托管状态
住建,房产交易合同信息,买受人类型（1自然人、2机构）,买受人类型
住建,房产交易合同信息,房屋用途,房屋用途
住建,房产交易合同信息,所在行政区域,行政区划名称
住建,房产交易合同信息,幢号,房屋幢号
住建,房产交易合同信息,预销售证编号,房产预售证号
住建,房产交易合同信息,销售方式,销售方式
住建,房产交易合同信息,买受人身份证,买受人公民身份号码
住建,房产交易合同信息,首付款百分比,首付款百分比
住建,房产交易合同信息,付款方式,付款方式
住建,房产交易合同信息,面积,不动产面积
住建,房产交易合同信息,总价,房产交易总价
住建,房产交易合同信息,户坐落,不动产坐落
住建,房产交易合同信息,户号,房屋户号
住建,房产交易合同信息,联系手机,联系电话
住建,房产交易合同信息,买受人姓名,买受人姓名
住建,房产交易合同信息,出卖人（公司名称）,出卖人名称
住建,房产交易合同信息,备案号,房产交易备案号
住建,房产交易合同信息,合同编号,合同编号
住建,房产交易合同信息,状态,合同状态
住建,房产交易合同信息,注销完成时间,注销完成时间
住建,房产交易合同信息,备案完成时间,备案完成时间
住建,房产交易合同信息,签订完成时间,不动产交易签订完成时间
住建,商品房预(销)售合同信息,房屋用途(预售用途),房屋用途
住建,商品房预(销)售合同信息,房屋坐落,不动产坐落
住建,商品房预(销)售合同信息,合同备案时间,合同备案时间
住建,商品房预(销)售合同信息,合同编号,合同编号
住建,商品房预(销)售合同信息,合同购房金额（交易价格）(万元),合同购房金额
住建,商品房预(销)售合同信息,房屋建筑面积(平方米),房屋建筑面积
住建,商品房预(销)售合同信息,开发企业名称,开发企业名称
住建,商品房预(销)售合同信息,开发企业统一编号,开发企业统一社会信用代码
住建,商品房预(销)售合同信息,房屋买受人,房屋买受人姓名
住建,商品房预(销)售合同信息,房屋买受人证件号码,房屋买受人身份证件号码
住建,商品房预(销)售合同信息,房屋买受人证件类型,房屋买受人身份证件类型
住建,商品房预(销)售合同信息,所在城市,所在城市
住建,商品房预(销)售合同信息,所在区县,所在区县
自然资源,房屋基本信息,不动产单元号,不动产单元号
自然资源,房屋基本信息,登记机构,不动产登记机构
自然资源,房屋基本信息,单元标识码,不动产单元号
自然资源,房屋基本信息,房屋性质,房屋性质
自然资源,房屋基本信息,房屋用途,房屋用途
自然资源,房屋基本信息,房屋结构,房屋结构
自然资源,房屋基本信息,建筑年份,建筑年份
自然资源,房屋基本信息,建筑面积,建筑面积
自然资源,房屋基本信息,权利表名,不动产权利表名
自然资源,房屋基本信息,权利标识码,不动产权利标识码
自然资源,房屋基本信息,所在楼层,所在楼层
自然资源,房屋基本信息,幢总层数,幢总层数
自然资源,房屋基本信息,坐落,不动产坐落
自然资源,不动产权利人信息,登记机构,不动产登记机构
自然资源,不动产权利人信息,联系电话,联系电话
自然资源,不动产权利人信息,权利表名,不动产权利表名
自然资源,不动产权利人信息,权利标识码,不动产权利标识码
自然资源,不动产权利人信息,权利人名称,权利人名称
自然资源,不动产权利人信息,权利人证件号,权利人身份证件号码
自然资源,不动产权利人信息,权利人证件种类,权利人身份证件类型
自然资源,不动产权利人信息,不动产单元号,不动产单元号
自然资源,不动产权利人信息,序号,权利人序号
自然资源,不动产产权信息,不动产单元号,不动产单元号
自然资源,不动产产权信息,不动产权证号,不动产权证号
自然资源,不动产产权信息,登簿时间,不动产登簿时间
自然资源,不动产产权信息,登记机构,不动产登记机构
自然资源,不动产产权信息,共有情况,不动产共有情况
自然资源,不动产产权信息,权利表名,不动产权利表名
自然资源,不动产产权信息,权利标识码,不动产权利标识码
自然资源,不动产产权信息,权利类型,不动产权利类型
自然资源,不动产产权信息,权利其他状况,权利其他状况
自然资源,不动产产权信息,权利人,权利人名称
自然资源,不动产产权信息,权利人身份证号码,权利人公民身份号码
自然资源,不动产产权信息,权利人类型,权利人类型
自然资源,不动产产权信息,权利性质,不动产权利性质
自然资源,不动产产权信息,权利比例,不动产权利比例
自然资源,不动产产权信息,使用期限,不动产使用期限
自然资源,不动产产权信息,缮证时间,不动产缮证时间
自然资源,不动产产权信息,房屋坐落,不动产坐落
自然资源,不动产产权信息,房屋性质,房屋性质
自然资源,不动产产权信息,房屋规划用途,房屋用途
自然资源,不动产产权信息,房屋建筑面积,房屋建筑面积
自然资源,不动产产权信息,套内建筑面积,不动产套内建筑面积
自然资源,不动产产权信息,所在建筑物总层数,不动产总层数
自然资源,不动产产权信息,状态,不动产状态
自然资源,不动产产权信息,所有权注销（变更）时间,所有权注销变更时间
自然资源,不动产产权信息,省编号,省代码
自然资源,不动产产权信息,行政区编码,行政区划代码
公安,机动车行驶证信息,车辆类型名称,车辆类型
公安,机动车行驶证信息,中文品牌,中文品牌
公安,机动车行驶证信息,车辆识别代号,车辆识别代码
公安,机动车行驶证信息,车辆型号,车辆型号
公安,机动车行驶证信息,车外廓长,机动车外廓长
公安,机动车行驶证信息,车外廓高,机动车外廓高
公安,机动车行驶证信息,车外廓宽,机动车外廓宽
公安,机动车行驶证信息,发动机号,发动机号码
公安,机动车行驶证信息,发证机关名称,发证机关
公安,机动车行驶证信息,发证日期,发证日期
公安,机动车行驶证信息,核定载人数,机动车核定载人数
公安,机动车行驶证信息,核定载质量,机动车核定载质量
公安,机动车行驶证信息,身份证明号码,身份证件号码
公安,机动车行驶证信息,身份证明名称,身份证件类型
公安,机动车行驶证信息,所有人,所有人
公安,机动车行驶证信息,使用性质,机动车使用性质
公安,机动车行驶证信息,使用性质说明,机动车使用性质
公安,机动车行驶证信息,检验有效期止,机动车检验有效期截止日期
公安,机动车行驶证信息,整备质量,机动车整备质量
公安,机动车行驶证信息,准牵引总质量,机动车准牵引总质量
公安,机动车行驶证信息,状态,动产状态
公安,机动车行驶证信息,总质量,机动车总质量
公安,机动车行驶证信息,号牌号码,车牌号码
公安,机动车行驶证信息,号牌种类,机动车号牌种类
农业农村,拖拉机和联合收割机行驶证信息,发证时间,发证时间
农业农村,拖拉机和联合收割机行驶证信息,注册登记时间,机动车注册登记日期
农业农村,拖拉机和联合收割机行驶证信息,牌照有效期限,牌照有效期限
农业农村,拖拉机和联合收割机行驶证信息,登记证书编号,机动车登记证书编号
农业农村,拖拉机和联合收割机行驶证信息,车辆型号,车辆型号
农业农村,拖拉机和联合收割机行驶证信息,拖拉机最小使用质量,机动车最小使用质量
农业农村,拖拉机和联合收割机行驶证信息,联合收割机质量,联合收割机质量
农业农村,拖拉机和联合收割机行驶证信息,拖拉机最大允许载质量,机动车最大允许载质量
农业农村,拖拉机和联合收割机行驶证信息,准乘人数,机动车准乘人数
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-长,外廓尺寸长
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-宽,外廓尺寸宽
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-高,外廓尺寸高
农业农村,拖拉机和联合收割机行驶证信息,是否临牌,是否临牌
农业农村,拖拉机和联合收割机行驶证信息,身份证号,公民身份号码
农业农村,拖拉机和联合收割机行驶证信息,车牌号码,车牌号码
农业农村,拖拉机和联合收割机行驶证信息,所属地区,所属地区
农业农村,拖拉机和联合收割机行驶证信息,机身颜色,机身颜色
农业农村,拖拉机和联合收割机行驶证信息,车辆照片,车辆照片
农业农村,拖拉机和联合收割机行驶证信息,生产企业名称,生产企业
农业农村,拖拉机和联合收割机行驶证信息,发证机关,发证机关
农业农村,拖拉机和联合收割机行驶证信息,车辆类型,车辆类型
农业农村,拖拉机和联合收割机行驶证信息,状态,动产状态
农业农村,拖拉机和联合收割机行驶证信息,所有人,所有人
农业农村,拖拉机和联合收割机行驶证信息,底盘机架号,底盘机架号
农业农村,拖拉机和联合收割机行驶证信息,挂车架号码,车辆识别代码
农业农村,拖拉机和联合收割机行驶证信息,发动机号码,发动机号码
农业农村,拖拉机和联合收割机行驶证信息,车辆品牌,车辆品牌
农业农村,拖拉机和联合收割机行驶证信息,状态,动产状态
农业农村,拖拉机和联合收割机年检信息,年检时间,年检时间
农业农村,拖拉机和联合收割机年检信息,有效截止日期,有效期截止日期
农业农村,拖拉机和联合收割机年检信息,保险生效日期,机动车保险生效日期
农业农村,拖拉机和联合收割机年检信息,保险截止日期,机动车保险截止日期
农业农村,拖拉机和联合收割机年检信息,车牌号码,车牌号码
农业农村,拖拉机和联合收割机年检信息,年检单位,年检单位
农业农村,拖拉机和联合收割机年检信息,登记证书编号,机动车登记证书编号
农业农村,拖拉机和联合收割机年检信息,机主姓名,拖拉机和联合收割机机主姓名
农业农村,拖拉机和联合收割机年检信息,证件类型,身份证件类型
农业农村,拖拉机和联合收割机年检信息,证件号码,身份证件号码
农业农村,拖拉机和联合收割机年检信息,车辆类型,车辆类型
农业农村,拖拉机和联合收割机年检信息,状态,动产状态
公安,户籍人口基本信息,兵役状况,兵役状况
公安,户籍人口基本信息,出生地国家（地区）,出生地国家地区
公安,户籍人口基本信息,出生地省市县（区）,出生地省市县区
公安,户籍人口基本信息,出生日期,出生日期
公安,户籍人口基本信息,出生证明编号,出生医学证明编号
公安,户籍人口基本信息,城乡属性,城乡属性
公安,户籍人口基本信息,曾用名,曾用名
公安,户籍人口基本信息,服务处所,工作单位
公安,户籍人口基本信息,公民身份号码,公民身份号码
公安,户籍人口基本信息,婚姻状况,婚姻状况
公安,户籍人口基本信息,籍贯国家（地区）,籍贯国家地区
公安,户籍人口基本信息,籍贯省市县（区）,籍贯省市区县
公安,户籍人口基本信息,籍贯详址,籍贯详址
公安,户籍人口基本信息,街路巷代码,街路巷代码
公安,户籍人口基本信息,所属街路巷名称,所属街路巷
公安,户籍人口基本信息,居委会代码,居委会代码
公安,户籍人口基本信息,所属居民委会名称,所属居民委会
公安,户籍人口基本信息,居住地地址编码,居住地地址编码
公安,户籍人口基本信息,居住地省市县（区）,居住地省市区县
公安,户籍人口基本信息,居住地详细地址,居住地详细地址
公安,户籍人口基本信息,联系电话,联系电话
公安,户籍人口基本信息,门楼详址,户籍门楼详址
公安,户籍人口基本信息,民族,民族
公安,户籍人口基本信息,所属派出所名称,所属派出所
公安,户籍人口基本信息,所属省市县区,所在省市县区
公安,户籍人口基本信息,所属乡镇（街道）,所属乡镇街道
公安,户籍人口基本信息,死亡日期,死亡日期
公安,户籍人口基本信息,死亡原因,死亡原因
公安,户籍人口基本信息,死亡注销类别,死亡注销类别
公安,户籍人口基本信息,文化程度,学历
公安,户籍人口基本信息,性别,性别
公安,户籍人口基本信息,所属县级公安机关名称,所属县级公安机关
公安,户籍人口基本信息,姓名,姓名
公安,户籍人口基本信息,乡镇街道代码,乡镇街道代码
公安,户籍人口基本信息,宗教信仰,宗教信仰
公安,户籍人口基本信息,注销标识,户籍注销标识
公安,户籍人口基本信息,注销日期,户籍注销日期
公安,户籍人口基本信息,职业,职业
公安,户籍人口基本信息,住址,住址
公安,户籍人口基本信息,相片URL,个人照片
公安,户信息,姓名,姓名
公安,户信息,公民身份证号,公民身份号码
公安,户信息,户号,户号
公安,户信息,与户主关系,与户主关系
公安,户信息,户主姓名,户主姓名
公安,户信息,户主公民身份号码,户主公民身份号码
公安,户信息,户别,户口类别
公安,户信息,户类型,户籍类型
公安,户口迁移信息,姓名,姓名
公安,户口迁移信息,公民身份证号,公民身份号码
公安,户口迁移信息,户号,户号
公安,户口迁移信息,何国家（地区）来本址,何国家地区来本址
公安,户口迁移信息,何省市县（区）来本址,何省市县区来本址
公安,户口迁移信息,何详址来本址,何详址来本址
公安,户口迁移信息,何地迁来本市国家（地区）,何地迁来本市国家地区
公安,户口迁移信息,何地迁来本市省市县（区）,何地迁来本市省市县区
公安,户口迁移信息,何地迁来本市详址,何地迁来本市详址
公安,户口迁移信息,户籍地省市县（区）,户籍地省市区县
公安,户口迁移信息,户籍地详细地址,户籍地址区划内详细地址
公安,户口迁移信息,何迁移流动原因迁来,何迁移流动原因迁来
公安,户口迁移信息,何迁移流动原因迁来本址,何迁移流动原因迁来本址
公安,户口迁移信息,何时迁来本市,何时迁来本市
公安,户口迁移信息,何时来本址,何时来本址
公安,户口迁移信息,何因迁来本市,何因迁来本市
公安,户口迁移信息,何因来本址,何因来本址
公安,户口迁移信息,迁出迁移（流动）原因,迁出迁移流动原因
公安,户口迁移信息,迁出日期,户口迁出日期
公安,户口迁移信息,迁出注销类别,迁出注销类别
公安,户口迁移信息,前往国家（地区）,户口迁往国家地区
公安,户口迁移信息,迁往地省市县（区）,迁往地省市县区
公安,户口迁移信息,迁往地详址,迁往地详址
公安,流动人口基本信息,登记日期,登记日期
公安,流动人口基本信息,公民身份号码,公民身份号码
公安,流动人口基本信息,户籍地,户籍地
公安,流动人口基本信息,户籍门(楼)详址,户籍门楼详址
公安,流动人口基本信息,婚姻状况,婚姻状况
公安,流动人口基本信息,籍贯,籍贯
公安,流动人口基本信息,流入原因,流动人口流入原因
公安,流动人口基本信息,联系方式,联系电话
公安,流动人口基本信息,民族,民族
公安,流动人口基本信息,是否婚育证明(0否1是),是否婚育证明
公安,流动人口基本信息,性别,性别
公安,流动人口基本信息,学历,学历
公安,流动人口基本信息,姓名,姓名
公安,流动人口基本信息,已居住时限,已居住时限
公安,流动人口基本信息,宗教信仰,宗教信仰
公安,流动人口基本信息,职业类别,职业类别
公安,流动人口基本信息,政治面貌,政治面貌
公安,流动人口基本信息,经济来源,经济来源
公安,流动人口基本信息,现住门(楼)详址,现住门楼详址
公安,居住证信息,登记日期,登记日期
公安,居住证信息,街路巷,街路巷
公安,居住证信息,派出所,所属派出所
公安,居住证信息,县（市、区）,所在市县区
公安,居住证信息,居住地址,居住地址
公安,居住证信息,居住证号,居住证号
公安,居住证信息,初次签发日期,初次签发日期
公安,居住证信息,发证地公安机关,发证地公安机关
公安,居住证信息,发证地公安机关代码,居住证发证地公安机关代码
公安,居住证信息,发证日期,发证日期
公安,居住证信息,户口省县,户口所在省市县区
公安,居住证信息,民族,民族
公安,居住证信息,签注到期日期,签注到期日期
公安,居住证信息,签注日期,签注日期
公安,居住证信息,公民身份号码,公民身份号码
公安,居住证信息,性别,性别
公安,居住证信息,姓名,姓名
公安,居住证信息,证件状态,居住证状态
公安,居住证信息,注销日期,居住证注销日期
公安,居住证信息,注销原因,注销原因
公安,居住证信息,居住证内部编号,居住证内部编号
